Page Title,Section,Car Name,Category & Details,Price Per Day,Location
Car Rentals in Canada from C$ 18/day - Search for Rental Cars on KAYAK,Homepage Car Rentals (Before Search),Toyota Yaris,or similar Small - 2 passengers | 2 bags | 4-5 doors doors | greenmotion,C$ 18/day,Canada
Car Rentals in Canada from C$ 18/day - Search for Rental Cars on KAYAK,Homepage Car Rentals (Before Search),Hyundai Accent,or similar Small - 4 passengers | 2 bags | 2/4 doors doors | ace,C$ 18/day,Canada
Car Rentals in Canada from C$ 18/day - Search for Rental Cars on KAYAK,Homepage Car Rentals (Before Search),Toyota Corolla,or similar Medium - 5 passengers | 3 bags | 2/4 doors doors | routescartrk,C$ 20/day,Canada
Car Rentals in Canada from C$ 18/day - Search for Rental Cars on KAYAK,Homepage Car Rentals (Before Search),Volkswagen Passat,or similar Medium - 5 passengers | 3 bags | 4-5 doors doors | surpricecarrental,C$ 24/day,Canada
Car Rentals in Canada from C$ 18/day - Search for Rental Cars on KAYAK,Homepage Car Rentals (Before Search),Chevrolet Malibu,or similar Large - 5 passengers | 2 bags | 2/4 doors doors | avis,C$ 18/day,Canada
Car Rentals in Canada from C$ 18/day - Search for Rental Cars on KAYAK,Homepage Car Rentals (Before Search),Jeep Wrangler,or similar SUV - 2 passengers | 2 bags | 4-5 doors doors | enterprise,C$ 74/day,Canada
Car Rentals in Canada from C$ 18/day - Search for Rental Cars on KAYAK,Homepage Car Rentals (Before Search),Dodge Grand Caravan,or similar Van - 5 passengers | 5 bags | 4-5 doors doors | thrifty,C$ 42/day,Canada
Car Rentals in Canada from C$ 18/day - Search for Rental Cars on KAYAK,Homepage Car Rentals (Before Search),Dodge Durango,or similar SUV - 5 passengers | 2 bags | 4-5 doors doors | budget,C$ 61/day,Canada
Car Rentals in Canada from C$ 18/day - Search for Rental Cars on KAYAK,Homepage Car Rentals (Before Search),Fiat 500,or similar Small - 2 passengers | 2 bags | 2-3 doors doors | turo,C$ 54/day,Canada
Car Rentals in Canada from C$ 18/day - Search for Rental Cars on KAYAK,Homepage Car Rentals (Before Search),Dodge Durango,or similar Luxury - 5 passengers | 5 bags | 2/4 doors doors | enterprise,C$ 47/day,Canada
Car Rentals in Canada from C$ 18/day - Search for Rental Cars on KAYAK,Homepage Car Rentals (Before Search),Honda Odyssey,or similar Van - 5 passengers | 2 bags | 4-5 doors doors | turo,C$ 80/day,Canada
Car Rentals in Canada from C$ 18/day - Search for Rental Cars on KAYAK,Homepage Car Rentals (Before Search),Chrysler 300,or similar Luxury - 5 passengers | 5 bags | 4-5 doors doors | dollar,C$ 47/day,Canada
Car Rentals in Canada from C$ 18/day - Search for Rental Cars on KAYAK,Homepage Car Rentals (Before Search),Fiat 500C,or similar Convertible - 2 passengers | 2 bags | 2/4 doors doors | turo,C$ 25/day,Canada
Car Rentals in Canada from C$ 18/day - Search for Rental Cars on KAYAK,Homepage Car Rentals (Before Search),Ford F-150,or similar Pickup Truck - 5 passengers | 5 bags | 2/4 doors doors | enterprise,C$ 43/day,Canada
Car Rentals in Canada from C$ 18/day - Search for Rental Cars on KAYAK,Homepage Car Rentals (Before Search),Class Premium SUV,or similar SUV - 5 passengers | 5 bags | 4-5 doors doors | enterprise,C$ 57/day,Canada
Car Rentals in Canada from C$ 18/day - Search for Rental Cars on KAYAK,Homepage Car Rentals (Before Search),Nissan Rogue,or similar SUV - 4 passengers | 2 bags | 4-5 doors doors | routescartrk,C$ 24/day,Canada
Car Rentals in Canada from C$ 18/day - Search for Rental Cars on KAYAK,Homepage Car Rentals (Before Search),Class Special Car,or similar Category - 5 passengers | 5 bags | 2/4 doors doors | economy,C$ 25/day,Canada
Car Rentals in Canada from C$ 18/day - Search for Rental Cars on KAYAK,Homepage Car Rentals (Before Search),Kia Sportage,or similar SUV - 5 passengers | 3 bags | 4-5 doors doors | economy,C$ 29/day,Canada
Car Rentals in Canada from C$ 18/day - Search for Rental Cars on KAYAK,Homepage Car Rentals (Before Search),Chevrolet Equinox,or similar SUV - 5 passengers | 3 bags | 4-5 doors doors | citycartruckrental,C$ 31/day,Canada
Car Rentals in Canada from C$ 18/day - Search for Rental Cars on KAYAK,Homepage Car Rentals (Before Search),Class Special Sedan,or similar Medium - 5 passengers | 5 bags | 2/4 doors doors | avis,C$ 38/day,Canada
Car Rentals in Canada from C$ 18/day - Search for Rental Cars on KAYAK,Homepage Car Rentals (Before Search),Lexus RX,or similar SUV - 5 passengers | 5 bags | 4-5 doors doors | turo,C$ 50/day,Canada
Car Rentals in Canada from C$ 18/day - Search for Rental Cars on KAYAK,Homepage Car Rentals (Before Search),Ford Transit Cargo,or similar Commercial - 5 passengers | 5 bags | 2/4 doors doors | enterprise,C$ 55/day,Canada
Car Rentals in Canada from C$ 18/day - Search for Rental Cars on KAYAK,Homepage Car Rentals (Before Search),Ford Mustang,or similar Luxury - 5 passengers | 5 bags | 2-3 doors doors | turo,C$ 61/day,Canada
Car Rentals in Canada from C$ 18/day - Search for Rental Cars on KAYAK,Homepage Car Rentals (Before Search),Jeep Wrangler Unlimited,or similar SUV - 5 passengers | 2 bags | 2/4 doors doors | turo,C$ 66/day,Canada
Car Rentals in Canada from C$ 18/day - Search for Rental Cars on KAYAK,Homepage Car Rentals (Before Search),Subaru Outback,or similar Medium - 5 passengers | 3 bags | 4-5 doors doors | turo,C$ 72/day,Canada
Car Rentals in Canada from C$ 18/day - Search for Rental Cars on KAYAK,Car Rental Search Results (After Search),Unknown Car,Unknown Category - N/A | N/A | N/A | priceless,Price not available,Canada
Car Rentals in Canada from C$ 18/day - Search for Rental Cars on KAYAK,Car Rental Search Results (After Search),Unknown Car,Unknown Category - N/A | N/A | N/A | Unknown Company,Price not available,Canada
Car Rentals in Canada from C$ 18/day - Search for Rental Cars on KAYAK,Car Rental Search Results (After Search),Unknown Car,Unknown Category - N/A | N/A | N/A | priceless,Price not available,Canada
Car Rentals in Canada from C$ 18/day - Search for Rental Cars on KAYAK,Car Rental Search Results (After Search),Unknown Car,Unknown Category - N/A | N/A | N/A | priceless,Price not available,Canada
Car Rentals in Canada from C$ 18/day - Search for Rental Cars on KAYAK,Car Rental Search Results (After Search),Unknown Car,Unknown Category - N/A | N/A | N/A | Unknown Company,Price not available,Canada
Car Rentals in Canada from C$ 18/day - Search for Rental Cars on KAYAK,Car Rental Search Results (After Search),Unknown Car,Unknown Category - N/A | N/A | N/A | Unknown Company,Price not available,Canada
Car Rentals in Canada from C$ 18/day - Search for Rental Cars on KAYAK,Car Rental Search Results (After Search),Unknown Car,Unknown Category - N/A | N/A | N/A | Unknown Company,Price not available,Canada
Car Rentals in Canada from C$ 18/day - Search for Rental Cars on KAYAK,Car Rental Search Results (After Search),Unknown Car,Unknown Category - N/A | N/A | N/A | Unknown Company,Price not available,Canada
Car Rentals in Canada from C$ 18/day - Search for Rental Cars on KAYAK,Car Rental Search Results (After Search),Unknown Car,Unknown Category - N/A | N/A | N/A | hertz,Price not available,Canada
Car Rentals in Canada from C$ 18/day - Search for Rental Cars on KAYAK,Car Rental Search Results (After Search),Unknown Car,Unknown Category - N/A | N/A | N/A | Unknown Company,Price not available,Canada
Car Rentals in Canada from C$ 18/day - Search for Rental Cars on KAYAK,Car Rental Search Results (After Search),Unknown Car,Unknown Category - N/A | N/A | N/A | hertz,Price not available,Canada
Car Rentals in Canada from C$ 18/day - Search for Rental Cars on KAYAK,Car Rental Search Results (After Search),Unknown Car,Unknown Category - N/A | N/A | N/A | hertz,Price not available,Canada
Find & Book Car Rental Deals | KAYAK,Cars Page,Page Content Sample,Sign in Compare rental cars from 100s of sites. Flights Stays Cars Flight+Hotel KAYAK.ai Same drop-off Driver's age: 26-65 Mon 13/10 Noon – Mon 20/10 Noon Search SUVs only Your recent searches Toronto  Ontario  Canada Start date 13/10 noon End date 20/10 noon C$ 148 Start a new search Search rental cars by destination Find Car Rentals Save money on rental cars by searching for car rental deals on KAYAK. KAYAK searches for rental car deals on hundreds of car rental sites to help you find the chea...,N/A,N/A
Help & Support | KAYAK,Page Visit,Quick Visit,Just visited this page quickly to save time,N/A,N/A
News & expert tips | KAYAK Canada Blog,Page Visit,Quick Visit,Just visited this page quickly to save time,N/A,N/A
How we work - KAYAK,Page Visit,Quick Visit,Just visited this page quickly to save time,N/A,N/A
Car Rentals in Canada from C$ 18/day - Search for Rental Cars on KAYAK,Advanced Features,Sign In Button Click,Successfully clicked Sign In button,N/A,N/A
Car Rentals in Canada from C$ 18/day - Search for Rental Cars on KAYAK,Advanced Features,Modal Interaction Failed,Could not interact with Sign In modal: element click intercepted: Element <div role="button" tabindex="0" class="ZGw- ZGw--mod-size-medium ZGw--mod-variant-default">...</div> is not clickable at point (1210, 30). Other element would receive the click: <div class="c-ulo-viewport">...</div>
  (Session info: chrome=141.0.7390.55)
Build info: version: '4.35.0', revision: '1c58e5028b'
System info: os.name: 'Mac OS X', os.arch: 'aarch64', os.version: '26.0.1', java.version: '25'
Driver info: org.openqa.selenium.chrome.ChromeDriver
Command: [e8f747423f0c592fbfcf596cce442152, clickElement {id=f.F063C4A4FB7DAE5C76A3B5F7458E0F4F.d.4452E3DA867C0120CC85EAFA60DD4DDB.e.402}]
Capabilities {acceptInsecureCerts: false, browserName: chrome, browserVersion: 141.0.7390.55, chrome: {chromedriverVersion: 140.0.7339.185 (eeea00e459e..., userDataDir: /var/folders/gg/nwbjkv0j1n3...}, fedcm:accounts: true, goog:chromeOptions: {debuggerAddress: localhost:62050}, networkConnectionEnabled: false, pageLoadStrategy: normal, platformName: mac, proxy: Proxy(), se:cdp: ws://localhost:62050/devtoo..., se:cdpVersion: 141.0.7390.55, setWindowRect: true, strictFileInteractability: false, timeouts: {implicit: 0, pageLoad: 300000, script: 30000}, unhandledPromptBehavior: dismiss and notify, webauthn:extension:credBlob: true, webauthn:extension:largeBlob: true, webauthn:extension:minPinLength: true, webauthn:extension:prf: true, webauthn:virtualAuthenticators: true}
Element: [[ChromeDriver: chrome on mac (e8f747423f0c592fbfcf596cce442152)] -> xpath: //span[@class='J-sA-label'][text()='Sign in']/..]
Session ID: e8f747423f0c592fbfcf596cce442152,N/A,N/A
Car Rentals in Canada from C$ 18/day - Search for Rental Cars on KAYAK,Advanced Features,URL Verification,Current URL: https://www.ca.kayak.com/Canada-Car-Rentals.43.crc.html?sck=SEM&skipapp=true&gclid=Cj0KCQjw0Y3HBhCxARIsAN7931XMr2UvdmraFs4Fj1eGhbDTNUaUZEOYFYOmp9aNVZGlYKO44Wf9ByAaAn7qEALw_wcB,N/A,N/A
